FROM_ZONE,TO_ZONE,IF_MIN,IF_MAX,IF_ID
A,B,-2000,2000,1
B,C,-1600,1500,2
C,E,-5650,5650,3
D,E,-1600,3500,4
E,F,-3925,3925,5
E,G,-1600,2300,6
F,G,-5400,5400,7
G,H,-7050,7050,8
H,I,-8450,8450,9
I,J,-4400,4400,10
I,K,-2100,2700,11
EAST,NaN,-3400,5000,12
NY,NE,-1400,1400,13
NY,IESO,-1950,1600,14
NY,PJM,NaN,NaN,15
