Cluster,region,technology,Resource,Zone,EndCap,EndEnergyCap,EndChargeCap,NewCap,RetCap,NewEnergyCap,RetEnergyCap,NewChargeCap,RetChargeCap,iter,CPA_ID,lcoe,Area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primeFarmland,exFacil,plFacil,m_HMI,m_popden,cpa_mw
2,NENG_Rest,LandbasedWind,NENG_Rest_landbasedwind_class1_moderate_2,1,6450.896567688283,0,0,6450.896567688283,0,0,0,0,0,1,70638,33.327904,48.9999989,44.80638370711042,-71.31287771,26840.11,New Hampshire,43,0,1,0,0.0529940559966,0,79.380005
2,NENG_Rest,LandbasedWind,NENG_Rest_landbasedwind_class1_moderate_2,1,6450.896567688283,0,0,6450.896567688283,0,0,0,0,0,1,67557,33.503033,28.99999982,44.34401885383445,-68.27495078,9915.412,Maine,42,0,0,0,0.10366958,3.862068966,7.8300004
2,NENG_Rest,LandbasedWind,NENG_Rest_landbasedwind_class1_moderate_2,1,6450.896567688283,0,0,6450.896567688283,0,0,0,0,0,1,70806,33.548943,54.25000056,45.406883739696646,-70.55901635,30794.383,Maine,42,0,1,0,0.0295466934996,0.119815668,87.885
2,NENG_Rest,LandbasedWind,NENG_Rest_landbasedwind_class1_moderate_2,1,6450.896567688283,0,0,6450.896567688283,0,0,0,0,0,1,71793,33.780544,63.74999942,43.09159174792303,-72.87654234,14183.011,Vermont,41,0,0,0,0.203740354,3.741176471,17.2125
2,NENG_Rest,LandbasedWind,NENG_Rest_landbasedwind_class1_moderate_2,1,6450.896567688283,0,0,6450.896567688283,0,0,0,0,0,1,70825,33.850903,42.74999958,45.453102775375136,-70.44220329,31505.926,Maine,42,0,0,0,0.0321973696656,0,69.255005
2,NENG_Rest,LandbasedWind,NENG_Rest_landbasedwind_class1_moderate_2,1,6450.896567688283,0,0,6450.896567688283,0,0,0,0,0,1,67664,34.22223,17.25000012,43.10682137655582,-72.10925167,11940.533,New Hampshire,41,0,0,0,0.30638852,6.47826087,2.3287501
2,NENG_Rest,LandbasedWind,NENG_Rest_landbasedwind_class1_moderate_2,1,6450.896567688283,0,0,6450.896567688283,0,0,0,0,0,1,70117,34.27276,63.24999939,45.78315916766966,-69.45709344,20810.148,Maine,41,0,0,0,0.00960100725433,0,102.465
2,NENG_Rest,LandbasedWind,NENG_Rest_landbasedwind_class1_moderate_2,1,6450.896567688283,0,0,6450.896567688283,0,0,0,0,0,1,70689,34.531227,38.74999994,44.89250182864068,-70.64531178,22902.547,Maine,43,0,0,0,0.0396313693855,0.238709677,62.775
2,NENG_Rest,LandbasedWind,NENG_Rest_landbasedwind_class1_moderate_2,1,6450.896567688283,0,0,6450.896567688283,0,0,0,0,0,1,71424,34.548656,43.99999985,43.368153842138526,-72.76909944,19087.707,Vermont,41,0,0,0,0.174681507,3.261363636,11.88
2,NENG_Rest,LandbasedWind,NENG_Rest_landbasedwind_class1_moderate_2,1,6450.896567688283,0,0,6450.896567688283,0,0,0,0,0,1,70513,34.57628,55.74999995,45.37150301574838,-67.80272135,17274.39,Maine,43,0,0,0,0.0309859113937,0.00448430493274,90.314995
