Cluster,region,technology,Resource,Zone,EndCap,EndEnergyCap,EndChargeCap,NewCap,RetCap,NewEnergyCap,RetEnergyCap,NewChargeCap,RetChargeCap,iter,CPA_ID,lcoe,Area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primeFarmland,exFacil,plFacil,m_HMI,m_popden,cpa_mw
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,392752,30.763063,7.047205805,43.23076256338961,-78.46389128,3902.1816,New York,82,1,0,0,0.557315214,7.896551724,31.712425
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393282,30.769445,15.1498661,43.016808150691766,-78.56953434,3957.9814,New York,82,1,0,0,0.63618262,25.06557377,34.0872
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,392762,30.805077,9.097011286,43.25232861931127,-78.46178791,3995.4487,New York,82,1,0,0,0.510715491,13.70588235,20.468275
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,397142,30.816069,4.00564954,42.71477467415417,-78.78019945,4123.3413,New York,81,1,0,0,0.624093238,24.33333333,9.012712
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393291,30.817184,6.548208076,43.05502792244656,-78.61536214,4357.852,New York,90,1,0,0,0.59549769,22.16666667,14.733468
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393279,30.834251,8.645146479,42.9687248771226,-78.48797298,4101.932,New York,81,1,0,0,0.636388433,19.5,19.45158
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393278,30.835379,12.12601412,42.97416933107968,-78.52940777,4104.437,New York,82,1,0,0,0.647487333,18.04347826,27.283531
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,396851,30.83962,15.1766761,42.83714335960773,-78.31561338,4081.9324,New York,41,1,0,0,0.584443419,11.16666667,34.147522
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,392753,30.851664,2.925412838,43.2279143650218,-78.42832618,4098.8623,New York,82,1,0,0,0.56251579,10.90909091,6.582179
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393424,30.866531,16.07391881,42.911312623455885,-78.34508684,4075.021,New York,82,1,0,0,0.633063197,12.3880597,36.166317
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,392824,30.870613,4.085053062,43.35968364827488,-78.21741066,6319.901,New York,82,0,0,0,0.528654657,5.529411765,18.382738
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393315,30.87361,10.38731312,43.097497173282605,-78.39687792,4060.1626,New York,82,1,0,0,0.659964329,13.02325581,23.371454
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393283,30.875654,9.745614164,43.00625855465534,-78.52653732,4193.895,New York,41,1,0,0,0.714854817,25.72972973,21.927631
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,396831,30.87627,13.84887023,42.7661061236546,-78.33362112,4354.1323,New York,41,1,0,0,0.586047315,8.4,62.319916
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,397144,30.886435,8.113355328,42.705104072936734,-78.70720762,4279.7793,New York,41,1,0,0,0.543985572,30.34482759,9.127524
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,396842,30.88777,14.39893715,42.80093052302764,-78.32441275,4188.8345,New York,41,1,0,0,0.573259612,8.614035088,64.79522
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393280,30.892105,10.82999905,42.96810037300809,-78.4352833,4131.7407,New York,90,1,0,0,0.657360728,13.72727273,24.367498
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,397143,30.895454,11.03153018,42.711710785881614,-78.7461776,4299.8345,New York,41,1,0,0,0.584310495,39.86363636,12.410472
2,NY_Z_A,UtilityPV_Class1_Moderate_,NY_Z_A_utilitypv_class1_advanced_2,2,4725.033655,0,0,4725.033655,0,0,0,0,0,0,393423,30.905575,9.332192232,42.919700660858375,-78.38971085,4161.6187,New York,82,1,0,0,0.664991062,11.92307692,20.997433
