"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"03/12/2022 00:00:00","EST","CAPITL",61757,1168.2312
"03/12/2022 00:00:00","EST","CENTRL",61754,1511.0596
"03/12/2022 00:00:00","EST","DUNWOD",61760,522.0353
"03/12/2022 00:00:00","EST","GENESE",61753,955.2696
"03/12/2022 00:00:00","EST","HUD VL",61758,907.2925
"03/12/2022 00:00:00","EST","LONGIL",61762,1760.2457
"03/12/2022 00:00:00","EST","MHK VL",61756,752.8043
"03/12/2022 00:00:00","EST","MILLWD",61759,264.4839
"03/12/2022 00:00:00","EST","N.Y.C.",61761,4490.7302
"03/12/2022 00:00:00","EST","NORTH",61755,688.2815
"03/12/2022 00:00:00","EST","WEST",61752,1576.4861
"03/12/2022 01:00:00","EST","CAPITL",61757,1139.1423
"03/12/2022 01:00:00","EST","CENTRL",61754,1498.7393
"03/12/2022 01:00:00","EST","DUNWOD",61760,499.2336
"03/12/2022 01:00:00","EST","GENESE",61753,941.2382
"03/12/2022 01:00:00","EST","HUD VL",61758,882.3541
"03/12/2022 01:00:00","EST","LONGIL",61762,1677.971
"03/12/2022 01:00:00","EST","MHK VL",61756,732.6381
"03/12/2022 01:00:00","EST","MILLWD",61759,250.3525
"03/12/2022 01:00:00","EST","N.Y.C.",61761,4313.2396
"03/12/2022 01:00:00","EST","NORTH",61755,692.3773
"03/12/2022 01:00:00","EST","WEST",61752,1550.4637
"03/12/2022 02:00:00","EST","CAPITL",61757,1120.5322
"03/12/2022 02:00:00","EST","CENTRL",61754,1503.0513
"03/12/2022 02:00:00","EST","DUNWOD",61760,483.4787
"03/12/2022 02:00:00","EST","GENESE",61753,931.8693
"03/12/2022 02:00:00","EST","HUD VL",61758,863.617
"03/12/2022 02:00:00","EST","LONGIL",61762,1625.8662
"03/12/2022 02:00:00","EST","MHK VL",61756,725.3901
"03/12/2022 02:00:00","EST","MILLWD",61759,241.9654
"03/12/2022 02:00:00","EST","N.Y.C.",61761,4195.5616
"03/12/2022 02:00:00","EST","NORTH",61755,692.6289
"03/12/2022 02:00:00","EST","WEST",61752,1539.6012
"03/12/2022 03:00:00","EST","CAPITL",61757,1105.809
"03/12/2022 03:00:00","EST","CENTRL",61754,1519.7123
"03/12/2022 03:00:00","EST","DUNWOD",61760,476.5313
"03/12/2022 03:00:00","EST","GENESE",61753,933.492
"03/12/2022 03:00:00","EST","HUD VL",61758,858.445
"03/12/2022 03:00:00","EST","LONGIL",61762,1598.1149
"03/12/2022 03:00:00","EST","MHK VL",61756,739.6213
"03/12/2022 03:00:00","EST","MILLWD",61759,241.3607
"03/12/2022 03:00:00","EST","N.Y.C.",61761,4122.7797
"03/12/2022 03:00:00","EST","NORTH",61755,701.8151
"03/12/2022 03:00:00","EST","WEST",61752,1532.887
"03/12/2022 04:00:00","EST","CAPITL",61757,1113.3632
"03/12/2022 04:00:00","EST","CENTRL",61754,1539.7976
"03/12/2022 04:00:00","EST","DUNWOD",61760,474.0867
"03/12/2022 04:00:00","EST","GENESE",61753,950.6956
"03/12/2022 04:00:00","EST","HUD VL",61758,861.5331
"03/12/2022 04:00:00","EST","LONGIL",61762,1603.404
"03/12/2022 04:00:00","EST","MHK VL",61756,745.9818
"03/12/2022 04:00:00","EST","MILLWD",61759,241.1259
"03/12/2022 04:00:00","EST","N.Y.C.",61761,4097.3372
"03/12/2022 04:00:00","EST","NORTH",61755,702.6439
"03/12/2022 04:00:00","EST","WEST",61752,1534.937
"03/12/2022 05:00:00","EST","CAPITL",61757,1136.1131
"03/12/2022 05:00:00","EST","CENTRL",61754,1603.1974
"03/12/2022 05:00:00","EST","DUNWOD",61760,487.1186
"03/12/2022 05:00:00","EST","GENESE",61753,978.2784
"03/12/2022 05:00:00","EST","HUD VL",61758,879.8442
"03/12/2022 05:00:00","EST","LONGIL",61762,1642.0748
"03/12/2022 05:00:00","EST","MHK VL",61756,760.0449
"03/12/2022 05:00:00","EST","MILLWD",61759,249.3616
"03/12/2022 05:00:00","EST","N.Y.C.",61761,4160.755
"03/12/2022 05:00:00","EST","NORTH",61755,701.8638
"03/12/2022 05:00:00","EST","WEST",61752,1568.0506
"03/12/2022 06:00:00","EST","CAPITL",61757,1187.8914
"03/12/2022 06:00:00","EST","CENTRL",61754,1665.0606
"03/12/2022 06:00:00","EST","DUNWOD",61760,505.7119
"03/12/2022 06:00:00","EST","GENESE",61753,1018.891
"03/12/2022 06:00:00","EST","HUD VL",61758,914.2078
"03/12/2022 06:00:00","EST","LONGIL",61762,1713.9585
"03/12/2022 06:00:00","EST","MHK VL",61756,813.7071
"03/12/2022 06:00:00","EST","MILLWD",61759,269.631
"03/12/2022 06:00:00","EST","N.Y.C.",61761,4306.2502
"03/12/2022 06:00:00","EST","NORTH",61755,694.7772
"03/12/2022 06:00:00","EST","WEST",61752,1623.3583
"03/12/2022 07:00:00","EST","CAPITL",61757,1252.7351
"03/12/2022 07:00:00","EST","CENTRL",61754,1737.9206
"03/12/2022 07:00:00","EST","DUNWOD",61760,524.1339
"03/12/2022 07:00:00","EST","GENESE",61753,1064.1351
"03/12/2022 07:00:00","EST","HUD VL",61758,950.0517
"03/12/2022 07:00:00","EST","LONGIL",61762,1815.2367
"03/12/2022 07:00:00","EST","MHK VL",61756,852.8838
"03/12/2022 07:00:00","EST","MILLWD",61759,293.9007
"03/12/2022 07:00:00","EST","N.Y.C.",61761,4510.0042
"03/12/2022 07:00:00","EST","NORTH",61755,699.9266
"03/12/2022 07:00:00","EST","WEST",61752,1676.5751
"03/12/2022 08:00:00","EST","CAPITL",61757,1345.8543
"03/12/2022 08:00:00","EST","CENTRL",61754,1824.6239
"03/12/2022 08:00:00","EST","DUNWOD",61760,559.3353
"03/12/2022 08:00:00","EST","GENESE",61753,1124.9343
"03/12/2022 08:00:00","EST","HUD VL",61758,1012.2843
"03/12/2022 08:00:00","EST","LONGIL",61762,1957.0397
"03/12/2022 08:00:00","EST","MHK VL",61756,904.7927
"03/12/2022 08:00:00","EST","MILLWD",61759,319.337
"03/12/2022 08:00:00","EST","N.Y.C.",61761,4772.612
"03/12/2022 08:00:00","EST","NORTH",61755,717.2748
"03/12/2022 08:00:00","EST","WEST",61752,1740.9957
"03/12/2022 09:00:00","EST","CAPITL",61757,1422.096
"03/12/2022 09:00:00","EST","CENTRL",61754,1902.0942
"03/12/2022 09:00:00","EST","DUNWOD",61760,595.5042
"03/12/2022 09:00:00","EST","GENESE",61753,1169.7874
"03/12/2022 09:00:00","EST","HUD VL",61758,1087.4459
"03/12/2022 09:00:00","EST","LONGIL",61762,2099.8733
"03/12/2022 09:00:00","EST","MHK VL",61756,951.8853
"03/12/2022 09:00:00","EST","MILLWD",61759,346.4814
"03/12/2022 09:00:00","EST","N.Y.C.",61761,5043.9103
"03/12/2022 09:00:00","EST","NORTH",61755,723.1819
"03/12/2022 09:00:00","EST","WEST",61752,1780.8915
"03/12/2022 10:00:00","EST","CAPITL",61757,1473.4949
"03/12/2022 10:00:00","EST","CENTRL",61754,1946.2695
"03/12/2022 10:00:00","EST","DUNWOD",61760,636.5529
"03/12/2022 10:00:00","EST","GENESE",61753,1190.2036
"03/12/2022 10:00:00","EST","HUD VL",61758,1145.2752
"03/12/2022 10:00:00","EST","LONGIL",61762,2199.8806
"03/12/2022 10:00:00","EST","MHK VL",61756,980.2611
"03/12/2022 10:00:00","EST","MILLWD",61759,378.3657
"03/12/2022 10:00:00","EST","N.Y.C.",61761,5318.2109
"03/12/2022 10:00:00","EST","NORTH",61755,731.1039
"03/12/2022 10:00:00","EST","WEST",61752,1802.3807
"03/12/2022 11:00:00","EST","CAPITL",61757,1518.9896
"03/12/2022 11:00:00","EST","CENTRL",61754,1978.408
"03/12/2022 11:00:00","EST","DUNWOD",61760,661.5029
"03/12/2022 11:00:00","EST","GENESE",61753,1197.0345
"03/12/2022 11:00:00","EST","HUD VL",61758,1179.2621
"03/12/2022 11:00:00","EST","LONGIL",61762,2275.9005
"03/12/2022 11:00:00","EST","MHK VL",61756,998.8327
"03/12/2022 11:00:00","EST","MILLWD",61759,393.3864
"03/12/2022 11:00:00","EST","N.Y.C.",61761,5503.1246
"03/12/2022 11:00:00","EST","NORTH",61755,734.8106
"03/12/2022 11:00:00","EST","WEST",61752,1808.596
"03/12/2022 12:00:00","EST","CAPITL",61757,1526.0903
"03/12/2022 12:00:00","EST","CENTRL",61754,1977.3426
"03/12/2022 12:00:00","EST","DUNWOD",61760,670.7711
"03/12/2022 12:00:00","EST","GENESE",61753,1182.3153
"03/12/2022 12:00:00","EST","HUD VL",61758,1187.9426
"03/12/2022 12:00:00","EST","LONGIL",61762,2309.9151
"03/12/2022 12:00:00","EST","MHK VL",61756,980.6903
"03/12/2022 12:00:00","EST","MILLWD",61759,393.9138
"03/12/2022 12:00:00","EST","N.Y.C.",61761,5597.454
"03/12/2022 12:00:00","EST","NORTH",61755,742.4283
"03/12/2022 12:00:00","EST","WEST",61752,1792.8081
