"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"10/22/2023 00:00:00","EDT","CAPITL",61757,991.6615
"10/22/2023 00:00:00","EDT","CENTRL",61754,1338.994
"10/22/2023 00:00:00","EDT","DUNWOD",61760,512.433
"10/22/2023 00:00:00","EDT","GENESE",61753,842.3887
"10/22/2023 00:00:00","EDT","HUD VL",61758,813.2923
"10/22/2023 00:00:00","EDT","LONGIL",61762,1630.1107
"10/22/2023 00:00:00","EDT","MHK VL",61756,657.0902
"10/22/2023 00:00:00","EDT","MILLWD",61759,231.4737
"10/22/2023 00:00:00","EDT","N.Y.C.",61761,4202.5486
"10/22/2023 00:00:00","EDT","NORTH",61755,586.1387
"10/22/2023 00:00:00","EDT","WEST",61752,1418.6626
"10/22/2023 01:00:00","EDT","CAPITL",61757,966.097
"10/22/2023 01:00:00","EDT","CENTRL",61754,1308.5772
"10/22/2023 01:00:00","EDT","DUNWOD",61760,490.3566
"10/22/2023 01:00:00","EDT","GENESE",61753,824.1402
"10/22/2023 01:00:00","EDT","HUD VL",61758,778.3483
"10/22/2023 01:00:00","EDT","LONGIL",61762,1542.6748
"10/22/2023 01:00:00","EDT","MHK VL",61756,636.0619
"10/22/2023 01:00:00","EDT","MILLWD",61759,221.7766
"10/22/2023 01:00:00","EDT","N.Y.C.",61761,4028.0301
"10/22/2023 01:00:00","EDT","NORTH",61755,580.6737
"10/22/2023 01:00:00","EDT","WEST",61752,1389.3224
"10/22/2023 02:00:00","EDT","CAPITL",61757,958.9074
"10/22/2023 02:00:00","EDT","CENTRL",61754,1295.3181
"10/22/2023 02:00:00","EDT","DUNWOD",61760,468.7428
"10/22/2023 02:00:00","EDT","GENESE",61753,810.9146
"10/22/2023 02:00:00","EDT","HUD VL",61758,753.4556
"10/22/2023 02:00:00","EDT","LONGIL",61762,1489.3158
"10/22/2023 02:00:00","EDT","MHK VL",61756,622.906
"10/22/2023 02:00:00","EDT","MILLWD",61759,212.8996
"10/22/2023 02:00:00","EDT","N.Y.C.",61761,3889.1679
"10/22/2023 02:00:00","EDT","NORTH",61755,574.1692
"10/22/2023 02:00:00","EDT","WEST",61752,1381.3276
"10/22/2023 03:00:00","EDT","CAPITL",61757,955.8576
"10/22/2023 03:00:00","EDT","CENTRL",61754,1286.8223
"10/22/2023 03:00:00","EDT","DUNWOD",61760,457.3937
"10/22/2023 03:00:00","EDT","GENESE",61753,803.7664
"10/22/2023 03:00:00","EDT","HUD VL",61758,740.2699
"10/22/2023 03:00:00","EDT","LONGIL",61762,1451.211
"10/22/2023 03:00:00","EDT","MHK VL",61756,617.058
"10/22/2023 03:00:00","EDT","MILLWD",61759,207.3193
"10/22/2023 03:00:00","EDT","N.Y.C.",61761,3799.1618
"10/22/2023 03:00:00","EDT","NORTH",61755,577.241
"10/22/2023 03:00:00","EDT","WEST",61752,1374.854
"10/22/2023 04:00:00","EDT","CAPITL",61757,965.1089
"10/22/2023 04:00:00","EDT","CENTRL",61754,1280.4819
"10/22/2023 04:00:00","EDT","DUNWOD",61760,454.1385
"10/22/2023 04:00:00","EDT","GENESE",61753,803.7763
"10/22/2023 04:00:00","EDT","HUD VL",61758,736.8037
"10/22/2023 04:00:00","EDT","LONGIL",61762,1448.7287
"10/22/2023 04:00:00","EDT","MHK VL",61756,622.9941
"10/22/2023 04:00:00","EDT","MILLWD",61759,203.7728
"10/22/2023 04:00:00","EDT","N.Y.C.",61761,3771.8996
"10/22/2023 04:00:00","EDT","NORTH",61755,578.4959
"10/22/2023 04:00:00","EDT","WEST",61752,1376.5373
"10/22/2023 05:00:00","EDT","CAPITL",61757,986.7565
"10/22/2023 05:00:00","EDT","CENTRL",61754,1295.0703
"10/22/2023 05:00:00","EDT","DUNWOD",61760,460.3981
"10/22/2023 05:00:00","EDT","GENESE",61753,820.8428
"10/22/2023 05:00:00","EDT","HUD VL",61758,754.802
"10/22/2023 05:00:00","EDT","LONGIL",61762,1468.3527
"10/22/2023 05:00:00","EDT","MHK VL",61756,646.2921
"10/22/2023 05:00:00","EDT","MILLWD",61759,210.4362
"10/22/2023 05:00:00","EDT","N.Y.C.",61761,3809.0184
"10/22/2023 05:00:00","EDT","NORTH",61755,583.3805
"10/22/2023 05:00:00","EDT","WEST",61752,1383.3266
"10/22/2023 06:00:00","EDT","CAPITL",61757,1022.4391
"10/22/2023 06:00:00","EDT","CENTRL",61754,1347.7344
"10/22/2023 06:00:00","EDT","DUNWOD",61760,478.2479
"10/22/2023 06:00:00","EDT","GENESE",61753,851.242
"10/22/2023 06:00:00","EDT","HUD VL",61758,793.7423
"10/22/2023 06:00:00","EDT","LONGIL",61762,1529.5072
"10/22/2023 06:00:00","EDT","MHK VL",61756,673.7013
"10/22/2023 06:00:00","EDT","MILLWD",61759,222.0699
"10/22/2023 06:00:00","EDT","N.Y.C.",61761,3920.9826
"10/22/2023 06:00:00","EDT","NORTH",61755,608.1908
"10/22/2023 06:00:00","EDT","WEST",61752,1420.5975
"10/22/2023 07:00:00","EDT","CAPITL",61757,1072.1574
"10/22/2023 07:00:00","EDT","CENTRL",61754,1422.5113
"10/22/2023 07:00:00","EDT","DUNWOD",61760,498.3063
"10/22/2023 07:00:00","EDT","GENESE",61753,890.4158
"10/22/2023 07:00:00","EDT","HUD VL",61758,831.1165
"10/22/2023 07:00:00","EDT","LONGIL",61762,1571.3225
"10/22/2023 07:00:00","EDT","MHK VL",61756,724.9047
"10/22/2023 07:00:00","EDT","MILLWD",61759,237.7482
"10/22/2023 07:00:00","EDT","N.Y.C.",61761,4054.4768
"10/22/2023 07:00:00","EDT","NORTH",61755,617.2565
"10/22/2023 07:00:00","EDT","WEST",61752,1472.7956
"10/22/2023 08:00:00","EDT","CAPITL",61757,1121.2392
"10/22/2023 08:00:00","EDT","CENTRL",61754,1488.8622
"10/22/2023 08:00:00","EDT","DUNWOD",61760,519.1222
"10/22/2023 08:00:00","EDT","GENESE",61753,921.2558
"10/22/2023 08:00:00","EDT","HUD VL",61758,847.0944
"10/22/2023 08:00:00","EDT","LONGIL",61762,1613.8527
"10/22/2023 08:00:00","EDT","MHK VL",61756,759.7682
"10/22/2023 08:00:00","EDT","MILLWD",61759,247.7494
"10/22/2023 08:00:00","EDT","N.Y.C.",61761,4222.5002
"10/22/2023 08:00:00","EDT","NORTH",61755,631.6048
"10/22/2023 08:00:00","EDT","WEST",61752,1511.4359
