"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"10/08/2022 00:00:00","EDT","CAPITL",61757,1129.5675
"10/08/2022 00:00:00","EDT","CENTRL",61754,1385.5477
"10/08/2022 00:00:00","EDT","DUNWOD",61760,488.8465
"10/08/2022 00:00:00","EDT","GENESE",61753,868.9581
"10/08/2022 00:00:00","EDT","HUD VL",61758,786.1023
"10/08/2022 00:00:00","EDT","LONGIL",61762,1697.1443
"10/08/2022 00:00:00","EDT","MHK VL",61756,640.7628
"10/08/2022 00:00:00","EDT","MILLWD",61759,244.812
"10/08/2022 00:00:00","EDT","N.Y.C.",61761,4300.7485
"10/08/2022 00:00:00","EDT","NORTH",61755,605.1323
"10/08/2022 00:00:00","EDT","WEST",61752,1420.2777
"10/08/2022 01:00:00","EDT","CAPITL",61757,1099.8443
"10/08/2022 01:00:00","EDT","CENTRL",61754,1364.7502
"10/08/2022 01:00:00","EDT","DUNWOD",61760,462.4514
"10/08/2022 01:00:00","EDT","GENESE",61753,843.4853
"10/08/2022 01:00:00","EDT","HUD VL",61758,748.5067
"10/08/2022 01:00:00","EDT","LONGIL",61762,1596.3852
"10/08/2022 01:00:00","EDT","MHK VL",61756,618.0389
"10/08/2022 01:00:00","EDT","MILLWD",61759,234.5943
"10/08/2022 01:00:00","EDT","N.Y.C.",61761,4108.3079
"10/08/2022 01:00:00","EDT","NORTH",61755,605.6077
"10/08/2022 01:00:00","EDT","WEST",61752,1382.0905
"10/08/2022 02:00:00","EDT","CAPITL",61757,1080.3706
"10/08/2022 02:00:00","EDT","CENTRL",61754,1347.051
"10/08/2022 02:00:00","EDT","DUNWOD",61760,440.188
"10/08/2022 02:00:00","EDT","GENESE",61753,828.3385
"10/08/2022 02:00:00","EDT","HUD VL",61758,730.1288
"10/08/2022 02:00:00","EDT","LONGIL",61762,1533.9608
"10/08/2022 02:00:00","EDT","MHK VL",61756,608.3942
"10/08/2022 02:00:00","EDT","MILLWD",61759,226.4299
"10/08/2022 02:00:00","EDT","N.Y.C.",61761,3967.5515
"10/08/2022 02:00:00","EDT","NORTH",61755,609.9275
"10/08/2022 02:00:00","EDT","WEST",61752,1363.1412
"10/08/2022 03:00:00","EDT","CAPITL",61757,1073.3157
"10/08/2022 03:00:00","EDT","CENTRL",61754,1328.0381
"10/08/2022 03:00:00","EDT","DUNWOD",61760,429.8334
"10/08/2022 03:00:00","EDT","GENESE",61753,820.611
"10/08/2022 03:00:00","EDT","HUD VL",61758,720.0868
"10/08/2022 03:00:00","EDT","LONGIL",61762,1495.351
"10/08/2022 03:00:00","EDT","MHK VL",61756,617.0549
"10/08/2022 03:00:00","EDT","MILLWD",61759,225.257
"10/08/2022 03:00:00","EDT","N.Y.C.",61761,3868.8772
"10/08/2022 03:00:00","EDT","NORTH",61755,609.2266
"10/08/2022 03:00:00","EDT","WEST",61752,1364.019
"10/08/2022 04:00:00","EDT","CAPITL",61757,1077.8586
"10/08/2022 04:00:00","EDT","CENTRL",61754,1334.2374
"10/08/2022 04:00:00","EDT","DUNWOD",61760,426.8593
"10/08/2022 04:00:00","EDT","GENESE",61753,823.0761
"10/08/2022 04:00:00","EDT","HUD VL",61758,721.0658
"10/08/2022 04:00:00","EDT","LONGIL",61762,1492.2497
"10/08/2022 04:00:00","EDT","MHK VL",61756,624.6952
"10/08/2022 04:00:00","EDT","MILLWD",61759,223.0098
"10/08/2022 04:00:00","EDT","N.Y.C.",61761,3826.9678
"10/08/2022 04:00:00","EDT","NORTH",61755,616.4124
"10/08/2022 04:00:00","EDT","WEST",61752,1361.6607
"10/08/2022 05:00:00","EDT","CAPITL",61757,1102.5371
"10/08/2022 05:00:00","EDT","CENTRL",61754,1364.1652
"10/08/2022 05:00:00","EDT","DUNWOD",61760,439.2189
"10/08/2022 05:00:00","EDT","GENESE",61753,845.5628
"10/08/2022 05:00:00","EDT","HUD VL",61758,741.9751
"10/08/2022 05:00:00","EDT","LONGIL",61762,1514.4792
"10/08/2022 05:00:00","EDT","MHK VL",61756,646.2607
"10/08/2022 05:00:00","EDT","MILLWD",61759,228.0803
"10/08/2022 05:00:00","EDT","N.Y.C.",61761,3864.6581
"10/08/2022 05:00:00","EDT","NORTH",61755,609.2047
"10/08/2022 05:00:00","EDT","WEST",61752,1394.7242
"10/08/2022 06:00:00","EDT","CAPITL",61757,1155.1066
"10/08/2022 06:00:00","EDT","CENTRL",61754,1437.9445
