"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"05/26/2022 00:00:00","EDT","CAPITL",61757,1133.1184
"05/26/2022 00:00:00","EDT","CENTRL",61754,1458.419
"05/26/2022 00:00:00","EDT","DUNWOD",61760,478.767
"05/26/2022 00:00:00","EDT","GENESE",61753,916.9655
"05/26/2022 00:00:00","EDT","HUD VL",61758,838.1903
"05/26/2022 00:00:00","EDT","LONGIL",61762,1686.0296
"05/26/2022 00:00:00","EDT","MHK VL",61756,632.6957
"05/26/2022 00:00:00","EDT","MILLWD",61759,210.9791
"05/26/2022 00:00:00","EDT","N.Y.C.",61761,4238.182
"05/26/2022 00:00:00","EDT","NORTH",61755,580.4007
"05/26/2022 00:00:00","EDT","WEST",61752,1384.9514
"05/26/2022 01:00:00","EDT","CAPITL",61757,1096.0114
"05/26/2022 01:00:00","EDT","CENTRL",61754,1420.5921
"05/26/2022 01:00:00","EDT","DUNWOD",61760,454.5134
"05/26/2022 01:00:00","EDT","GENESE",61753,880.0745
"05/26/2022 01:00:00","EDT","HUD VL",61758,793.064
"05/26/2022 01:00:00","EDT","LONGIL",61762,1600.3808
"05/26/2022 01:00:00","EDT","MHK VL",61756,610.2118
"05/26/2022 01:00:00","EDT","MILLWD",61759,203.3718
"05/26/2022 01:00:00","EDT","N.Y.C.",61761,4042.7007
"05/26/2022 01:00:00","EDT","NORTH",61755,570.5052
"05/26/2022 01:00:00","EDT","WEST",61752,1327.6158
"05/26/2022 02:00:00","EDT","CAPITL",61757,1065.8733
"05/26/2022 02:00:00","EDT","CENTRL",61754,1394.5048
"05/26/2022 02:00:00","EDT","DUNWOD",61760,438.6933
"05/26/2022 02:00:00","EDT","GENESE",61753,857.7933
"05/26/2022 02:00:00","EDT","HUD VL",61758,777.903
"05/26/2022 02:00:00","EDT","LONGIL",61762,1556.3749
"05/26/2022 02:00:00","EDT","MHK VL",61756,595.2178
"05/26/2022 02:00:00","EDT","MILLWD",61759,198.9057
"05/26/2022 02:00:00","EDT","N.Y.C.",61761,3923.7665
"05/26/2022 02:00:00","EDT","NORTH",61755,571.7203
"05/26/2022 02:00:00","EDT","WEST",61752,1305.0904
"05/26/2022 03:00:00","EDT","CAPITL",61757,1052.8101
"05/26/2022 03:00:00","EDT","CENTRL",61754,1376.1213
"05/26/2022 03:00:00","EDT","DUNWOD",61760,431.6193
"05/26/2022 03:00:00","EDT","GENESE",61753,845.2375
"05/26/2022 03:00:00","EDT","HUD VL",61758,768.0203
"05/26/2022 03:00:00","EDT","LONGIL",61762,1539.1399
"05/26/2022 03:00:00","EDT","MHK VL",61756,589.4359
"05/26/2022 03:00:00","EDT","MILLWD",61759,195.1178
"05/26/2022 03:00:00","EDT","N.Y.C.",61761,3863.1038
"05/26/2022 03:00:00","EDT","NORTH",61755,567.8626
