"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"06/24/2023 00:00:00","EDT","CAPITL",61757,1397.1392
"06/24/2023 00:00:00","EDT","CENTRL",61754,1664.4896
"06/24/2023 00:00:00","EDT","DUNWOD",61760,545.7703
"06/24/2023 00:00:00","EDT","GENESE",61753,1052.9905
"06/24/2023 00:00:00","EDT","HUD VL",61758,973.7581
"06/24/2023 00:00:00","EDT","LONGIL",61762,2096.0948
"06/24/2023 00:00:00","EDT","MHK VL",61756,780.0996
"06/24/2023 00:00:00","EDT","MILLWD",61759,279.9568
"06/24/2023 00:00:00","EDT","N.Y.C.",61761,4939.1481
"06/24/2023 00:00:00","EDT","NORTH",61755,616.1333
"06/24/2023 00:00:00","EDT","WEST",61752,1589.207
"06/24/2023 01:00:00","EDT","CAPITL",61757,1328.5593
"06/24/2023 01:00:00","EDT","CENTRL",61754,1621.5314
"06/24/2023 01:00:00","EDT","DUNWOD",61760,505.1708
"06/24/2023 01:00:00","EDT","GENESE",61753,986.4442
"06/24/2023 01:00:00","EDT","HUD VL",61758,928.6587
"06/24/2023 01:00:00","EDT","LONGIL",61762,1981.4374
"06/24/2023 01:00:00","EDT","MHK VL",61756,754.2945
"06/24/2023 01:00:00","EDT","MILLWD",61759,265.4151
"06/24/2023 01:00:00","EDT","N.Y.C.",61761,4755.3964
"06/24/2023 01:00:00","EDT","NORTH",61755,575.5432
"06/24/2023 01:00:00","EDT","WEST",61752,1539.6716
"06/24/2023 02:00:00","EDT","CAPITL",61757,1303.7516
"06/24/2023 02:00:00","EDT","CENTRL",61754,1580.1914
"06/24/2023 02:00:00","EDT","DUNWOD",61760,494.1518
"06/24/2023 02:00:00","EDT","GENESE",61753,952.9285
"06/24/2023 02:00:00","EDT","HUD VL",61758,908.2147
"06/24/2023 02:00:00","EDT","LONGIL",61762,1902.9301
"06/24/2023 02:00:00","EDT","MHK VL",61756,726.2687
"06/24/2023 02:00:00","EDT","MILLWD",61759,253.744
"06/24/2023 02:00:00","EDT","N.Y.C.",61761,4592.6673
"06/24/2023 02:00:00","EDT","NORTH",61755,563.7967
"06/24/2023 02:00:00","EDT","WEST",61752,1503.5029
"06/24/2023 03:00:00","EDT","CAPITL",61757,1274.2859
"06/24/2023 03:00:00","EDT","CENTRL",61754,1552.8217
"06/24/2023 03:00:00","EDT","DUNWOD",61760,480.519
"06/24/2023 03:00:00","EDT","GENESE",61753,927.4014
"06/24/2023 03:00:00","EDT","HUD VL",61758,885.6755
"06/24/2023 03:00:00","EDT","LONGIL",61762,1859.1526
"06/24/2023 03:00:00","EDT","MHK VL",61756,713.6188
"06/24/2023 03:00:00","EDT","MILLWD",61759,249.9702
"06/24/2023 03:00:00","EDT","N.Y.C.",61761,4488.0361
"06/24/2023 03:00:00","EDT","NORTH",61755,559.6051
"06/24/2023 03:00:00","EDT","WEST",61752,1482.7719
"06/24/2023 04:00:00","EDT","CAPITL",61757,1264.2419
"06/24/2023 04:00:00","EDT","CENTRL",61754,1560.0821
"06/24/2023 04:00:00","EDT","DUNWOD",61760,477.2638
"06/24/2023 04:00:00","EDT","GENESE",61753,914.2142
"06/24/2023 04:00:00","EDT","HUD VL",61758,881.4843
"06/24/2023 04:00:00","EDT","LONGIL",61762,1852.7435
"06/24/2023 04:00:00","EDT","MHK VL",61756,710.3859
"06/24/2023 04:00:00","EDT","MILLWD",61759,247.9686
"06/24/2023 04:00:00","EDT","N.Y.C.",61761,4448.3261
"06/24/2023 04:00:00","EDT","NORTH",61755,567.3193
"06/24/2023 04:00:00","EDT","WEST",61752,1478.3148
"06/24/2023 05:00:00","EDT","CAPITL",61757,1275.5068
"06/24/2023 05:00:00","EDT","CENTRL",61754,1568.7521
"06/24/2023 05:00:00","EDT","DUNWOD",61760,484.1789
"06/24/2023 05:00:00","EDT","GENESE",61753,915.2799
"06/24/2023 05:00:00","EDT","HUD VL",61758,890.4579
"06/24/2023 05:00:00","EDT","LONGIL",61762,1867.355
"06/24/2023 05:00:00","EDT","MHK VL",61756,713.844
"06/24/2023 05:00:00","EDT","MILLWD",61759,247.9473
"06/24/2023 05:00:00","EDT","N.Y.C.",61761,4489.6597
"06/24/2023 05:00:00","EDT","NORTH",61755,575.1972
"06/24/2023 05:00:00","EDT","WEST",61752,1486.4427
"06/24/2023 06:00:00","EDT","CAPITL",61757,1296.0157
"06/24/2023 06:00:00","EDT","CENTRL",61754,1602.11
"06/24/2023 06:00:00","EDT","DUNWOD",61760,495.6275
"06/24/2023 06:00:00","EDT","GENESE",61753,928.2505
"06/24/2023 06:00:00","EDT","HUD VL",61758,916.2447
"06/24/2023 06:00:00","EDT","LONGIL",61762,1906.7942
"06/24/2023 06:00:00","EDT","MHK VL",61756,734.0325
"06/24/2023 06:00:00","EDT","MILLWD",61759,254.2857
"06/24/2023 06:00:00","EDT","N.Y.C.",61761,4620.1872
"06/24/2023 06:00:00","EDT","NORTH",61755,577.491
"06/24/2023 06:00:00","EDT","WEST",61752,1497.6847
"06/24/2023 07:00:00","EDT","CAPITL",61757,1354.3139
"06/24/2023 07:00:00","EDT","CENTRL",61754,1660.966
"06/24/2023 07:00:00","EDT","DUNWOD",61760,527.5078
"06/24/2023 07:00:00","EDT","GENESE",61753,953.883
"06/24/2023 07:00:00","EDT","HUD VL",61758,956.9579
"06/24/2023 07:00:00","EDT","LONGIL",61762,2014.7654
"06/24/2023 07:00:00","EDT","MHK VL",61756,770.6521
"06/24/2023 07:00:00","EDT","MILLWD",61759,264.104
"06/24/2023 07:00:00","EDT","N.Y.C.",61761,4871.1888
"06/24/2023 07:00:00","EDT","NORTH",61755,589.3245
"06/24/2023 07:00:00","EDT","WEST",61752,1554.1588
"06/24/2023 08:00:00","EDT","CAPITL",61757,1424.2515
"06/24/2023 08:00:00","EDT","CENTRL",61754,1729.1288
"06/24/2023 08:00:00","EDT","DUNWOD",61760,569.6476
"06/24/2023 08:00:00","EDT","GENESE",61753,1000.0447
"06/24/2023 08:00:00","EDT","HUD VL",61758,1010.7671
"06/24/2023 08:00:00","EDT","LONGIL",61762,2182.1322
