"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"12/13/2023 00:00:00","EST","CAPITL",61757,1167.0762
"12/13/2023 00:00:00","EST","CENTRL",61754,1565.7151
"12/13/2023 00:00:00","EST","DUNWOD",61760,553.6902
"12/13/2023 00:00:00","EST","GENESE",61753,1043.689
"12/13/2023 00:00:00","EST","HUD VL",61758,1001.2708
"12/13/2023 00:00:00","EST","LONGIL",61762,1936.4404
"12/13/2023 00:00:00","EST","MHK VL",61756,812.2825
"12/13/2023 00:00:00","EST","MILLWD",61759,298.7441
"12/13/2023 00:00:00","EST","N.Y.C.",61761,4731.4494
"12/13/2023 00:00:00","EST","NORTH",61755,667.025
"12/13/2023 00:00:00","EST","WEST",61752,1606.9821
"12/13/2023 01:00:00","EST","CAPITL",61757,1130.4986
"12/13/2023 01:00:00","EST","CENTRL",61754,1538.8746
"12/13/2023 01:00:00","EST","DUNWOD",61760,530.1703
"12/13/2023 01:00:00","EST","GENESE",61753,1020.1755
"12/13/2023 01:00:00","EST","HUD VL",61758,972.486
"12/13/2023 01:00:00","EST","LONGIL",61762,1857.8275
"12/13/2023 01:00:00","EST","MHK VL",61756,790.5377
"12/13/2023 01:00:00","EST","MILLWD",61759,292.4247
"12/13/2023 01:00:00","EST","N.Y.C.",61761,4534.3126
"12/13/2023 01:00:00","EST","NORTH",61755,677.5267
"12/13/2023 01:00:00","EST","WEST",61752,1573.7973
"12/13/2023 02:00:00","EST","CAPITL",61757,1117.6218
"12/13/2023 02:00:00","EST","CENTRL",61754,1515.748
"12/13/2023 02:00:00","EST","DUNWOD",61760,514.6901
"12/13/2023 02:00:00","EST","GENESE",61753,1017.4578
"12/13/2023 02:00:00","EST","HUD VL",61758,956.0682
"12/13/2023 02:00:00","EST","LONGIL",61762,1804.5907
"12/13/2023 02:00:00","EST","MHK VL",61756,782.5171
"12/13/2023 02:00:00","EST","MILLWD",61759,288.4893
"12/13/2023 02:00:00","EST","N.Y.C.",61761,4427.9662
"12/13/2023 02:00:00","EST","NORTH",61755,679.8759
"12/13/2023 02:00:00","EST","WEST",61752,1558.6012
"12/13/2023 03:00:00","EST","CAPITL",61757,1127.8448
"12/13/2023 03:00:00","EST","CENTRL",61754,1503.1727
"12/13/2023 03:00:00","EST","DUNWOD",61760,505.3619
"12/13/2023 03:00:00","EST","GENESE",61753,1023.6716
"12/13/2023 03:00:00","EST","HUD VL",61758,954.6706
"12/13/2023 03:00:00","EST","LONGIL",61762,1792.5113
"12/13/2023 03:00:00","EST","MHK VL",61756,787.7863
"12/13/2023 03:00:00","EST","MILLWD",61759,285.455
"12/13/2023 03:00:00","EST","N.Y.C.",61761,4378.2819
"12/13/2023 03:00:00","EST","NORTH",61755,660.7832
"12/13/2023 03:00:00","EST","WEST",61752,1564.7172
"12/13/2023 04:00:00","EST","CAPITL",61757,1160.1334
"12/13/2023 04:00:00","EST","CENTRL",61754,1567.9711
"12/13/2023 04:00:00","EST","DUNWOD",61760,511.2998
"12/13/2023 04:00:00","EST","GENESE",61753,1051.3962
"12/13/2023 04:00:00","EST","HUD VL",61758,971.6727
"12/13/2023 04:00:00","EST","LONGIL",61762,1831.179
"12/13/2023 04:00:00","EST","MHK VL",61756,811.5646
"12/13/2023 04:00:00","EST","MILLWD",61759,292.9281
"12/13/2023 04:00:00","EST","N.Y.C.",61761,4407.6435
"12/13/2023 04:00:00","EST","NORTH",61755,659.9192
