"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"08/21/2023 00:00:00","EDT","CAPITL",61757,1153.5759
"08/21/2023 00:00:00","EDT","CENTRL",61754,1669.7526
"08/21/2023 00:00:00","EDT","DUNWOD",61760,636.7939
"08/21/2023 00:00:00","EDT","GENESE",61753,1104.4094
"08/21/2023 00:00:00","EDT","HUD VL",61758,1053.7595
"08/21/2023 00:00:00","EDT","LONGIL",61762,2464.4864
"08/21/2023 00:00:00","EDT","MHK VL",61756,693.8384
"08/21/2023 00:00:00","EDT","MILLWD",61759,286.0736
"08/21/2023 00:00:00","EDT","N.Y.C.",61761,5975.7898
"08/21/2023 00:00:00","EDT","NORTH",61755,602.4578
"08/21/2023 00:00:00","EDT","WEST",61752,1704.1981
"08/21/2023 01:00:00","EDT","CAPITL",61757,1113.4695
"08/21/2023 01:00:00","EDT","CENTRL",61754,1623.4584
"08/21/2023 01:00:00","EDT","DUNWOD",61760,605.6409
"08/21/2023 01:00:00","EDT","GENESE",61753,1071.6554
"08/21/2023 01:00:00","EDT","HUD VL",61758,995.0811
"08/21/2023 01:00:00","EDT","LONGIL",61762,2318.9646
"08/21/2023 01:00:00","EDT","MHK VL",61756,656.0546
"08/21/2023 01:00:00","EDT","MILLWD",61759,268.9745
"08/21/2023 01:00:00","EDT","N.Y.C.",61761,5760.0052
"08/21/2023 01:00:00","EDT","NORTH",61755,595.9746
"08/21/2023 01:00:00","EDT","WEST",61752,1633.8613
"08/21/2023 02:00:00","EDT","CAPITL",61757,1087.1026
"08/21/2023 02:00:00","EDT","CENTRL",61754,1581.1077
"08/21/2023 02:00:00","EDT","DUNWOD",61760,579.5963
"08/21/2023 02:00:00","EDT","GENESE",61753,1040.7075
"08/21/2023 02:00:00","EDT","HUD VL",61758,950.3826
"08/21/2023 02:00:00","EDT","LONGIL",61762,2215.2418
"08/21/2023 02:00:00","EDT","MHK VL",61756,637.4408
"08/21/2023 02:00:00","EDT","MILLWD",61759,255.0479
"08/21/2023 02:00:00","EDT","N.Y.C.",61761,5597.7808
"08/21/2023 02:00:00","EDT","NORTH",61755,592.8051
"08/21/2023 02:00:00","EDT","WEST",61752,1594.8705
"08/21/2023 03:00:00","EDT","CAPITL",61757,1079.7711
"08/21/2023 03:00:00","EDT","CENTRL",61754,1575.1191
"08/21/2023 03:00:00","EDT","DUNWOD",61760,559.9758
"08/21/2023 03:00:00","EDT","GENESE",61753,1023.2693
"08/21/2023 03:00:00","EDT","HUD VL",61758,923.7825
"08/21/2023 03:00:00","EDT","LONGIL",61762,2151.7735
"08/21/2023 03:00:00","EDT","MHK VL",61756,631.9112
"08/21/2023 03:00:00","EDT","MILLWD",61759,247.9717
"08/21/2023 03:00:00","EDT","N.Y.C.",61761,5502.0395
"08/21/2023 03:00:00","EDT","NORTH",61755,590.876
"08/21/2023 03:00:00","EDT","WEST",61752,1572.1658
"08/21/2023 04:00:00","EDT","CAPITL",61757,1095.484
"08/21/2023 04:00:00","EDT","CENTRL",61754,1595.6138
"08/21/2023 04:00:00","EDT","DUNWOD",61760,556.468
"08/21/2023 04:00:00","EDT","GENESE",61753,1017.849
"08/21/2023 04:00:00","EDT","HUD VL",61758,921.3648
"08/21/2023 04:00:00","EDT","LONGIL",61762,2148.778
"08/21/2023 04:00:00","EDT","MHK VL",61756,647.9897
"08/21/2023 04:00:00","EDT","MILLWD",61759,247.4529
"08/21/2023 04:00:00","EDT","N.Y.C.",61761,5512.3727
"08/21/2023 04:00:00","EDT","NORTH",61755,594.8192
"08/21/2023 04:00:00","EDT","WEST",61752,1567.1728
"08/21/2023 05:00:00","EDT","CAPITL",61757,1154.3587
"08/21/2023 05:00:00","EDT","CENTRL",61754,1669.0622
"08/21/2023 05:00:00","EDT","DUNWOD",61760,579.6409
"08/21/2023 05:00:00","EDT","GENESE",61753,1056.4402
"08/21/2023 05:00:00","EDT","HUD VL",61758,949.5059
"08/21/2023 05:00:00","EDT","LONGIL",61762,2213.9553
"08/21/2023 05:00:00","EDT","MHK VL",61756,687.1145
"08/21/2023 05:00:00","EDT","MILLWD",61759,251.8904
"08/21/2023 05:00:00","EDT","N.Y.C.",61761,5717.5884
"08/21/2023 05:00:00","EDT","NORTH",61755,603.3077
"08/21/2023 05:00:00","EDT","WEST",61752,1621.4435
"08/21/2023 06:00:00","EDT","CAPITL",61757,1229.3036
"08/21/2023 06:00:00","EDT","CENTRL",61754,1802.8712
"08/21/2023 06:00:00","EDT","DUNWOD",61760,619.6123
"08/21/2023 06:00:00","EDT","GENESE",61753,1121.4669
"08/21/2023 06:00:00","EDT","HUD VL",61758,998.2599
"08/21/2023 06:00:00","EDT","LONGIL",61762,2308.1213
"08/21/2023 06:00:00","EDT","MHK VL",61756,750.0295
"08/21/2023 06:00:00","EDT","MILLWD",61759,265.1332
"08/21/2023 06:00:00","EDT","N.Y.C.",61761,6078.2253
"08/21/2023 06:00:00","EDT","NORTH",61755,613.29
"08/21/2023 06:00:00","EDT","WEST",61752,1703.5643
"08/21/2023 07:00:00","EDT","CAPITL",61757,1300.0916
"08/21/2023 07:00:00","EDT","CENTRL",61754,1868.8921
"08/21/2023 07:00:00","EDT","DUNWOD",61760,664.142
