"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"06/05/2023 00:00:00","EDT","CAPITL",61757,1036.391
"06/05/2023 00:00:00","EDT","CENTRL",61754,1325.6768
"06/05/2023 00:00:00","EDT","DUNWOD",61760,459.404
"06/05/2023 00:00:00","EDT","GENESE",61753,826.603
"06/05/2023 00:00:00","EDT","HUD VL",61758,787.5978
"06/05/2023 00:00:00","EDT","LONGIL",61762,1639.04
"06/05/2023 00:00:00","EDT","MHK VL",61756,610.0795
"06/05/2023 00:00:00","EDT","MILLWD",61759,214.9281
"06/05/2023 00:00:00","EDT","N.Y.C.",61761,4167.0964
"06/05/2023 00:00:00","EDT","NORTH",61755,569.8435
"06/05/2023 00:00:00","EDT","WEST",61752,1359.1696
"06/05/2023 01:00:00","EDT","CAPITL",61757,1020.7581
"06/05/2023 01:00:00","EDT","CENTRL",61754,1294.6385
"06/05/2023 01:00:00","EDT","DUNWOD",61760,446.2412
"06/05/2023 01:00:00","EDT","GENESE",61753,801.3421
"06/05/2023 01:00:00","EDT","HUD VL",61758,757.6957
"06/05/2023 01:00:00","EDT","LONGIL",61762,1571.9159
"06/05/2023 01:00:00","EDT","MHK VL",61756,590.2708
"06/05/2023 01:00:00","EDT","MILLWD",61759,200.4225
"06/05/2023 01:00:00","EDT","N.Y.C.",61761,3986.6844
"06/05/2023 01:00:00","EDT","NORTH",61755,567.755
"06/05/2023 01:00:00","EDT","WEST",61752,1329.1635
"06/05/2023 02:00:00","EDT","CAPITL",61757,1007.6735
"06/05/2023 02:00:00","EDT","CENTRL",61754,1276.7377
"06/05/2023 02:00:00","EDT","DUNWOD",61760,435.9882
"06/05/2023 02:00:00","EDT","GENESE",61753,787.4329
"06/05/2023 02:00:00","EDT","HUD VL",61758,739.9398
"06/05/2023 02:00:00","EDT","LONGIL",61762,1541.3454
"06/05/2023 02:00:00","EDT","MHK VL",61756,583.7383
"06/05/2023 02:00:00","EDT","MILLWD",61759,195.1998
"06/05/2023 02:00:00","EDT","N.Y.C.",61761,3865.7688
"06/05/2023 02:00:00","EDT","NORTH",61755,568.5188
"06/05/2023 02:00:00","EDT","WEST",61752,1315.1205
"06/05/2023 03:00:00","EDT","CAPITL",61757,1004.6016
"06/05/2023 03:00:00","EDT","CENTRL",61754,1268.8014
