"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"04/21/2023 00:00:00","EDT","CAPITL",61757,962.9885
"04/21/2023 00:00:00","EDT","CENTRL",61754,1314.552
"04/21/2023 00:00:00","EDT","DUNWOD",61760,425.9754
"04/21/2023 00:00:00","EDT","GENESE",61753,854.4001
"04/21/2023 00:00:00","EDT","HUD VL",61758,824.2966
"04/21/2023 00:00:00","EDT","LONGIL",61762,1595.3091
"04/21/2023 00:00:00","EDT","MHK VL",61756,642.2592
"04/21/2023 00:00:00","EDT","MILLWD",61759,225.6835
"04/21/2023 00:00:00","EDT","N.Y.C.",61761,4200.3298
"04/21/2023 00:00:00","EDT","NORTH",61755,628.0188
"04/21/2023 00:00:00","EDT","WEST",61752,1367.0597
"04/21/2023 01:00:00","EDT","CAPITL",61757,935.985
"04/21/2023 01:00:00","EDT","CENTRL",61754,1276.0506
"04/21/2023 01:00:00","EDT","DUNWOD",61760,408.9361
"04/21/2023 01:00:00","EDT","GENESE",61753,834.3023
"04/21/2023 01:00:00","EDT","HUD VL",61758,797.771
"04/21/2023 01:00:00","EDT","LONGIL",61762,1524.461
"04/21/2023 01:00:00","EDT","MHK VL",61756,624.097
"04/21/2023 01:00:00","EDT","MILLWD",61759,211.1857
"04/21/2023 01:00:00","EDT","N.Y.C.",61761,4017.3488
"04/21/2023 01:00:00","EDT","NORTH",61755,612.6803
"04/21/2023 01:00:00","EDT","WEST",61752,1330.0434
"04/21/2023 02:00:00","EDT","CAPITL",61757,923.207
"04/21/2023 02:00:00","EDT","CENTRL",61754,1264.138
"04/21/2023 02:00:00","EDT","DUNWOD",61760,397.8125
"04/21/2023 02:00:00","EDT","GENESE",61753,819.646
"04/21/2023 02:00:00","EDT","HUD VL",61758,779.3659
"04/21/2023 02:00:00","EDT","LONGIL",61762,1484.9584
"04/21/2023 02:00:00","EDT","MHK VL",61756,613.302
"04/21/2023 02:00:00","EDT","MILLWD",61759,207.0038
"04/21/2023 02:00:00","EDT","N.Y.C.",61761,3901.0358
"04/21/2023 02:00:00","EDT","NORTH",61755,600.9194
