"Time Stamp","Time Zone","Name","PTID","Integrated Load"
"11/18/2023 00:00:00","EST","CAPITL",61757,1037.151
"11/18/2023 00:00:00","EST","CENTRL",61754,1444.2328
"11/18/2023 00:00:00","EST","DUNWOD",61760,473.0304
"11/18/2023 00:00:00","EST","GENESE",61753,902.7555
"11/18/2023 00:00:00","EST","HUD VL",61758,825.0465
"11/18/2023 00:00:00","EST","LONGIL",61762,1660.7559
"11/18/2023 00:00:00","EST","MHK VL",61756,652.5156
"11/18/2023 00:00:00","EST","MILLWD",61759,232.977
"11/18/2023 00:00:00","EST","N.Y.C.",61761,4339.8316
"11/18/2023 00:00:00","EST","NORTH",61755,596.0922
"11/18/2023 00:00:00","EST","WEST",61752,1512.7371
"11/18/2023 01:00:00","EST","CAPITL",61757,1022.3751
"11/18/2023 01:00:00","EST","CENTRL",61754,1403.3525
"11/18/2023 01:00:00","EST","DUNWOD",61760,451.9361
"11/18/2023 01:00:00","EST","GENESE",61753,879.2939
"11/18/2023 01:00:00","EST","HUD VL",61758,787.6132
"11/18/2023 01:00:00","EST","LONGIL",61762,1573.529
"11/18/2023 01:00:00","EST","MHK VL",61756,645.0662
"11/18/2023 01:00:00","EST","MILLWD",61759,223.4638
"11/18/2023 01:00:00","EST","N.Y.C.",61761,4160.9533
"11/18/2023 01:00:00","EST","NORTH",61755,599.1351
"11/18/2023 01:00:00","EST","WEST",61752,1484.1676
"11/18/2023 02:00:00","EST","CAPITL",61757,1010.9819
"11/18/2023 02:00:00","EST","CENTRL",61754,1388.0533
"11/18/2023 02:00:00","EST","DUNWOD",61760,436.364
"11/18/2023 02:00:00","EST","GENESE",61753,865.273
"11/18/2023 02:00:00","EST","HUD VL",61758,768.2635
"11/18/2023 02:00:00","EST","LONGIL",61762,1523.8602
"11/18/2023 02:00:00","EST","MHK VL",61756,639.3438
"11/18/2023 02:00:00","EST","MILLWD",61759,217.4396
"11/18/2023 02:00:00","EST","N.Y.C.",61761,4035.2142
"11/18/2023 02:00:00","EST","NORTH",61755,605.6267
"11/18/2023 02:00:00","EST","WEST",61752,1468.912
"11/18/2023 03:00:00","EST","CAPITL",61757,1003.8742
"11/18/2023 03:00:00","EST","CENTRL",61754,1416.6467
"11/18/2023 03:00:00","EST","DUNWOD",61760,426.8409
"11/18/2023 03:00:00","EST","GENESE",61753,858.9781
"11/18/2023 03:00:00","EST","HUD VL",61758,774.9444
"11/18/2023 03:00:00","EST","LONGIL",61762,1489.7247
"11/18/2023 03:00:00","EST","MHK VL",61756,631.8379
"11/18/2023 03:00:00","EST","MILLWD",61759,201.7262
"11/18/2023 03:00:00","EST","N.Y.C.",61761,3957.7429
"11/18/2023 03:00:00","EST","NORTH",61755,605.4478
"11/18/2023 03:00:00","EST","WEST",61752,1457.98
"11/18/2023 04:00:00","EST","CAPITL",61757,1020.7258
"11/18/2023 04:00:00","EST","CENTRL",61754,1453.0565
"11/18/2023 04:00:00","EST","DUNWOD",61760,423.3408
"11/18/2023 04:00:00","EST","GENESE",61753,865.4578
"11/18/2023 04:00:00","EST","HUD VL",61758,772.3757
"11/18/2023 04:00:00","EST","LONGIL",61762,1485.8285
"11/18/2023 04:00:00","EST","MHK VL",61756,636.5654
"11/18/2023 04:00:00","EST","MILLWD",61759,211.1283
"11/18/2023 04:00:00","EST","N.Y.C.",61761,3936.7206
"11/18/2023 04:00:00","EST","NORTH",61755,612.7347
"11/18/2023 04:00:00","EST","WEST",61752,1467.0234
"11/18/2023 05:00:00","EST","CAPITL",61757,1048.3703
"11/18/2023 05:00:00","EST","CENTRL",61754,1507.4352
"11/18/2023 05:00:00","EST","DUNWOD",61760,433.1038
"11/18/2023 05:00:00","EST","GENESE",61753,895.8923
"11/18/2023 05:00:00","EST","HUD VL",61758,801.2961
"11/18/2023 05:00:00","EST","LONGIL",61762,1527.985
"11/18/2023 05:00:00","EST","MHK VL",61756,667.9822
"11/18/2023 05:00:00","EST","MILLWD",61759,200.2259
"11/18/2023 05:00:00","EST","N.Y.C.",61761,4005.9359
"11/18/2023 05:00:00","EST","NORTH",61755,622.4899
"11/18/2023 05:00:00","EST","WEST",61752,1501.5393
"11/18/2023 06:00:00","EST","CAPITL",61757,1094.0042
"11/18/2023 06:00:00","EST","CENTRL",61754,1581.2339
"11/18/2023 06:00:00","EST","DUNWOD",61760,456.7206
"11/18/2023 06:00:00","EST","GENESE",61753,935.1404
"11/18/2023 06:00:00","EST","HUD VL",61758,852.8614
"11/18/2023 06:00:00","EST","LONGIL",61762,1608.4825
"11/18/2023 06:00:00","EST","MHK VL",61756,713.5333
"11/18/2023 06:00:00","EST","MILLWD",61759,214.8791
"11/18/2023 06:00:00","EST","N.Y.C.",61761,4166.8189
"11/18/2023 06:00:00","EST","NORTH",61755,629.4486
"11/18/2023 06:00:00","EST","WEST",61752,1561.3321
"11/18/2023 07:00:00","EST","CAPITL",61757,1156.0172
"11/18/2023 07:00:00","EST","CENTRL",61754,1586.9825
"11/18/2023 07:00:00","EST","DUNWOD",61760,480.1269
"11/18/2023 07:00:00","EST","GENESE",61753,959.0233
"11/18/2023 07:00:00","EST","HUD VL",61758,901.9088
"11/18/2023 07:00:00","EST","LONGIL",61762,1676.008
"11/18/2023 07:00:00","EST","MHK VL",61756,743.9891
"11/18/2023 07:00:00","EST","MILLWD",61759,246.5172
"11/18/2023 07:00:00","EST","N.Y.C.",61761,4355.1545
"11/18/2023 07:00:00","EST","NORTH",61755,651.1577
"11/18/2023 07:00:00","EST","WEST",61752,1601.5645
"11/18/2023 08:00:00","EST","CAPITL",61757,1188.5649
"11/18/2023 08:00:00","EST","CENTRL",61754,1528.0228
"11/18/2023 08:00:00","EST","DUNWOD",61760,512.4134
"11/18/2023 08:00:00","EST","GENESE",61753,921.5332
"11/18/2023 08:00:00","EST","HUD VL",61758,936.4613
"11/18/2023 08:00:00","EST","LONGIL",61762,1838.4631
"11/18/2023 08:00:00","EST","MHK VL",61756,707.1968
"11/18/2023 08:00:00","EST","MILLWD",61759,259.7198
"11/18/2023 08:00:00","EST","N.Y.C.",61761,4593.0448
"11/18/2023 08:00:00","EST","NORTH",61755,663.6277
"11/18/2023 08:00:00","EST","WEST",61752,1596.7281
"11/18/2023 09:00:00","EST","CAPITL",61757,1150.2577
"11/18/2023 09:00:00","EST","CENTRL",61754,1451.6182
"11/18/2023 09:00:00","EST","DUNWOD",61760,533.5375
"11/18/2023 09:00:00","EST","GENESE",61753,883.5799
"11/18/2023 09:00:00","EST","HUD VL",61758,888.0215
"11/18/2023 09:00:00","EST","LONGIL",61762,1911.8464
"11/18/2023 09:00:00","EST","MHK VL",61756,621.9162
"11/18/2023 09:00:00","EST","MILLWD",61759,264.3684
"11/18/2023 09:00:00","EST","N.Y.C.",61761,4794.8916
"11/18/2023 09:00:00","EST","NORTH",61755,666.2463
"11/18/2023 09:00:00","EST","WEST",61752,1561.4818
"11/18/2023 10:00:00","EST","CAPITL",61757,1085.5578
"11/18/2023 10:00:00","EST","CENTRL",61754,1446.7246
