month,hour,bias_correction,optimized_beta
1,0,0.0,1.3083294077363965
1,1,0.0,1.3083294077363965
1,2,0.0,1.3083294077363965
1,3,0.0,1.3083294077363965
1,4,0.0,1.3083294077363965
1,5,0.0,1.3083294077363965
1,6,0.0,1.3083294077363965
1,7,0.0,1.3083294077363965
1,8,0.0,1.3083294077363965
1,9,0.0,1.3083294077363965
1,10,0.0,1.3083294077363965
1,11,0.0,1.3083294077363965
1,12,0.0010909361771208894,1.3083294077363965
1,13,0.06992947706206215,1.3083294077363965
1,14,0.08314284607209205,1.3083294077363965
1,15,-0.0046701764643100685,1.3083294077363965
1,16,-0.06992730509836187,1.3083294077363965
1,17,-0.09790691293344733,1.3083294077363965
1,18,-0.10189346175948268,1.3083294077363965
1,19,-0.08112083629870992,1.3083294077363965
1,20,-0.0793733377930442,1.3083294077363965
1,21,-0.07724654410999494,1.3083294077363965
1,22,-0.0017541864233530829,1.3083294077363965
1,23,0.0,1.3083294077363965
2,0,0.0,1.3083294077363965
2,1,0.0,1.3083294077363965
2,2,0.0,1.3083294077363965
2,3,0.0,1.3083294077363965
2,4,0.0,1.3083294077363965
2,5,0.0,1.3083294077363965
2,6,0.0,1.3083294077363965
2,7,0.0,1.3083294077363965
2,8,0.0,1.3083294077363965
2,9,0.0,1.3083294077363965
2,10,0.0,1.3083294077363965
2,11,1.0971455169483112e-06,1.3083294077363965
2,12,0.03314038878468947,1.3083294077363965
2,13,0.05089097568580482,1.3083294077363965
2,14,-0.009180172388230856,1.3083294077363965
2,15,-0.09998433156933548,1.3083294077363965
2,16,-0.17213607981011617,1.3083294077363965
2,17,-0.2147597929534258,1.3083294077363965
2,18,-0.21384019030254495,1.3083294077363965
2,19,-0.1887968916874329,1.3083294077363965
2,20,-0.17015271006951138,1.3083294077363965
2,21,-0.15322244556093984,1.3083294077363965
2,22,-0.06808813513217211,1.3083294077363965
2,23,-9.599309253514678e-07,1.3083294077363965
3,0,0.0,1.3083294077363965
3,1,0.0,1.3083294077363965
3,2,0.0,1.3083294077363965
3,3,0.0,1.3083294077363965
3,4,0.0,1.3083294077363965
3,5,0.0,1.3083294077363965
3,6,0.0,1.3083294077363965
3,7,0.0,1.3083294077363965
3,8,0.0,1.3083294077363965
3,9,0.0,1.3083294077363965
3,10,0.0,1.3083294077363965
3,11,0.013509795602668292,1.3083294077363965
3,12,0.03413818601121642,1.3083294077363965
3,13,0.0203989905193498,1.3083294077363965
3,14,-0.02627712276714955,1.3083294077363965
3,15,-0.09314983692973991,1.3083294077363965
3,16,-0.1334620663834548,1.3083294077363965
