month,hour,zone,alpha
1,0,A,0.09841722354951096
1,0,B,0.26386978112761755
1,0,C,0.26686019536021804
1,0,D,0.2438236856990026
1,0,E,0.2562256923633478
1,0,F,0.19520250557754382
1,1,A,0.10990317857905556
1,1,B,0.26268147526735003
1,1,C,0.2683048581503774
1,1,D,0.2504329338867847
1,1,E,0.26280642300540963
1,1,F,0.18798326147063013
1,2,A,0.14351649688791007
1,2,B,0.30258296800503387
1,2,C,0.2865604459263293
1,2,D,0.27280416917502454
1,2,E,0.2804400037737817
1,2,F,0.20905381487769084
1,3,A,0.1647517145207713
1,3,B,0.3360424352687277
1,3,C,0.3107635662559223
1,3,D,0.28673975236094046
1,3,E,0.2928806645287548
1,3,F,0.2258843098758255
1,4,A,0.16964652061374644
1,4,B,0.3376686373970523
1,4,C,0.33601407835979125
1,4,D,0.2946302181659621
1,4,E,0.30042743235605585
1,4,F,0.22489558814737698
1,5,A,0.1671392440374937
1,5,B,0.34267620234892215
1,5,C,0.34149285960508396
1,5,D,0.2906458466778322
1,5,E,0.2992713301003572
1,5,F,0.2150000301932215
1,6,A,0.16186358008416593
1,6,B,0.3411157074013429
1,6,C,0.34914564016909033
1,6,D,0.29398003762045394
1,6,E,0.2981061187722779
1,6,F,0.20064326794108814
1,7,A,0.15755526660143387
1,7,B,0.33823555270900996
1,7,C,0.34669788444090677
1,7,D,0.29510045065062324
1,7,E,0.29686471243328105
1,7,F,0.1959857370336207
1,8,A,0.15330347399923147
1,8,B,0.34172923844283903
1,8,C,0.34278317810229947
1,8,D,0.29429694106685605
1,8,E,0.29016841302863156
1,8,F,0.19995572907584713
1,9,A,0.15121733147323926
1,9,B,0.3418071833322127
1,9,C,0.32955674993284334
1,9,D,0.286557062407056
1,9,E,0.28436525207457564
1,9,F,0.19939133097742057
1,10,A,0.1576469067821582
1,10,B,0.3366378468736984
1,10,C,0.3275788162791384
1,10,D,0.2823041069435699
1,10,E,0.27982995349899026
1,10,F,0.19507773232451953
1,11,A,0.14974021013070438
1,11,B,0.33868865390653646
1,11,C,0.34292081351319753
1,11,D,0.27364967873419416
1,11,E,0.27627930666143796
1,11,F,0.20212786115507086
1,12,A,0.14834979432894302
1,12,B,0.33281561582438535
1,12,C,0.3354370675043125
1,12,D,0.26496172477180496
1,12,E,0.27701537800516074
1,12,F,0.2101826038778032
1,13,A,0.14438061886918194
1,13,B,0.32888291954079474
1,13,C,0.321639792720806
1,13,D,0.2672389447754199
1,13,E,0.2798407648788957
1,13,F,0.2136860793090855
1,14,A,0.1242549228857248
1,14,B,0.3129432956632091
1,14,C,0.29437263051280393
1,14,D,0.2648968306847142
1,14,E,0.272118677661543
1,14,F,0.2082244431794534
1,15,A,0.10175035490526452
1,15,B,0.2853405830422072
1,15,C,0.2739353752782209
1,15,D,0.2527223425588874
1,15,E,0.2583860005380735
1,15,F,0.18646395531726945
1,16,A,0.09215775449060658
1,16,B,0.2783850991283917
1,16,C,0.259822143316894
1,16,D,0.23149204731234274
1,16,E,0.24981350757854345
1,16,F,0.1627666159757165
1,17,A,0.0854938704284789
1,17,B,0.279469055245342
1,17,C,0.25711327864797934
1,17,D,0.21450007575935073
1,17,E,0.2444429547094592
1,17,F,0.14976727334555476
1,18,A,0.06672189357413781
1,18,B,0.2636264323112799
1,18,C,0.24942526942925886
1,18,D,0.20247071016918164
1,18,E,0.23533995442876698
1,18,F,0.13156320682173278
1,19,A,0.03765858650875096
1,19,B,0.2454767671291892
1,19,C,0.22641152741609324
1,19,D,0.1864789315970635
1,19,E,0.2245177808044819
1,19,F,0.11291693516283663
1,20,A,0.03441877053901824
1,20,B,0.23985050137558075
1,20,C,0.20807318951634524
1,20,D,0.19480400501027523
1,20,E,0.22506673917000997
1,20,F,0.13221628186095788
1,21,A,0.05898993324041417
1,21,B,0.2538999271617555
1,21,C,0.23229350018725217
1,21,D,0.2205988626338108
1,21,E,0.2373460806674685
1,21,F,0.176231762116833
1,22,A,0.08029258579964872
1,22,B,0.27057138373448164
1,22,C,0.2555666837406766
1,22,D,0.2489999764668997
1,22,E,0.2544006733488382
1,22,F,0.20407198096768794
1,23,A,0.09322352994778403
1,23,B,0.2690831191798387
1,23,C,0.25956765653229685
1,23,D,0.2460715267909612
1,23,E,0.25574509617450303
1,23,F,0.20424887524309843
2,0,A,0.0867732606414063
2,0,B,0.27724647332491414
2,0,C,0.28013722197571295
2,0,D,0.24110754815874702
2,0,E,0.24301063805837164
2,0,F,0.17766034490025007
2,1,A,0.08371855383908595
2,1,B,0.2756707461539961
2,1,C,0.28547039780732447
2,1,D,0.25695878353450774
2,1,E,0.24803254263592064
2,1,F,0.18182320364976504
2,2,A,0.08315921203154815
2,2,B,0.27135319594279356
2,2,C,0.28584807487753744
2,2,D,0.2828862152778609
2,2,E,0.25418256637173514
2,2,F,0.1861468957808286
2,3,A,0.10816279172948938
2,3,B,0.30561474583575254
2,3,C,0.3018687456546549
2,3,D,0.31121891788948497
2,3,E,0.2747337759164808
2,3,F,0.2038548846646079
2,4,A,0.12781161067359537
2,4,B,0.3232095068976667
2,4,C,0.3218503497954265
2,4,D,0.3274573513427563
2,4,E,0.2835787955774838
2,4,F,0.2123085758233055
2,5,A,0.1273354220670925
2,5,B,0.33201758408411575
2,5,C,0.32399861035084543
2,5,D,0.3287533396437679
2,5,E,0.2881809420996955
2,5,F,0.21628671264070906
2,6,A,0.1376698157295285
2,6,B,0.3399430384669588
2,6,C,0.326317140880575
2,6,D,0.31351649772207213
2,6,E,0.2916722653468353
2,6,F,0.2220771845014432
2,7,A,0.14593059674582054
2,7,B,0.34828105158753125
2,7,C,0.32744085407400947
2,7,D,0.2994486967536215
2,7,E,0.2940569689789063
2,7,F,0.22505846544986688
2,8,A,0.14998156188391396
2,8,B,0.34372949538631614
2,8,C,0.31137836954762343
2,8,D,0.29501430940663453
2,8,E,0.2847740859594058
2,8,F,0.22131336195951354
2,9,A,0.14959802830152183
2,9,B,0.3497211082077871
2,9,C,0.30397763566426583
2,9,D,0.2859289853759429
2,9,E,0.2837587762607587
2,9,F,0.21222669688462148
2,10,A,0.15033017520462733
2,10,B,0.3498916081594738
2,10,C,0.3087424578574903
2,10,D,0.2760631766476531
2,10,E,0.2857457992856946
2,10,F,0.20568674648986235
2,11,A,0.13343580698104548
2,11,B,0.3463658747268505
2,11,C,0.33024260212625023
2,11,D,0.2658011911726972
2,11,E,0.28657292862221
2,11,F,0.2032988391310746
2,12,A,0.13268481740511984
2,12,B,0.34955756030106777
2,12,C,0.3339832900175439
2,12,D,0.2615423698840964
2,12,E,0.289686252855855
2,12,F,0.21242959647833196
2,13,A,0.12322739438066158
2,13,B,0.3381619070459971
2,13,C,0.3269554310542195
2,13,D,0.26605852753470793
2,13,E,0.2854201954005168
2,13,F,0.211342946568027
2,14,A,0.11389711915774899
2,14,B,0.3250512884723625
2,14,C,0.3022265462637105
2,14,D,0.2584343829146605
2,14,E,0.2711751270456326
2,14,F,0.1792810385588593
2,15,A,0.10057626625142062
2,15,B,0.29937871686673295
2,15,C,0.27182135869017804
2,15,D,0.24535325351926965
2,15,E,0.2520738331952383
2,15,F,0.1528376241336717
2,16,A,0.08857255922732751
2,16,B,0.29192659954304395
2,16,C,0.2726268412927557
2,16,D,0.22465189426835291
2,16,E,0.2444845192006506
2,16,F,0.14366276101490172
2,17,A,0.07598733359181811
2,17,B,0.27843945511046114
2,17,C,0.2468557933727893
2,17,D,0.20779645861395468
2,17,E,0.22963356480091213
2,17,F,0.12437243091672978
2,18,A,0.029507243611290868
2,18,B,0.2349382773725267
2,18,C,0.20786505832826585
2,18,D,0.18846770945709054
2,18,E,0.20040369222368495
2,18,F,0.10185584379101348
2,19,A,0.010005901252376685
2,19,B,0.2012709236848106
2,19,C,0.18470263546341253
2,19,D,0.18165425306689081
2,19,E,0.18207039571173142
2,19,F,0.10646498430600776
2,20,A,0.010005901252376685
2,20,B,0.2048497282807523
2,20,C,0.19028869848449106
2,20,D,0.1904792275000837
2,20,E,0.18374970111725372
2,20,F,0.11905047337558367
2,21,A,0.03141125362838512
2,21,B,0.223759796503958
2,21,C,0.20906891269367933
2,21,D,0.20772581494188655
2,21,E,0.19741275884916334
2,21,F,0.13712154160113282
2,22,A,0.06623072166895298
2,22,B,0.2518806806831738
2,22,C,0.24342855022197074
2,22,D,0.2236416961774092
2,22,E,0.2200205081733562
2,22,F,0.1606144840319176
2,23,A,0.08618367276440828
2,23,B,0.26995608539761595
2,23,C,0.2709230834609848
2,23,D,0.23658827993735138
2,23,E,0.23362300202757044
2,23,F,0.17305609256753493
3,0,A,0.09098936947613008
3,0,B,0.2753543477320379
3,0,C,0.28831105835195014
3,0,D,0.29018255693560624
3,0,E,0.23421586461804028
3,0,F,0.22833655436969452
3,1,A,0.09292987835673576
3,1,B,0.28312485751651656
3,1,C,0.2648554671520288
3,1,D,0.29367173310635347
3,1,E,0.23475912936239043
3,1,F,0.22364560796894406
3,2,A,0.1012645759991146
3,2,B,0.2934459548191862
3,2,C,0.26886882149340213
3,2,D,0.30035274120962296
3,2,E,0.24714539874289876
3,2,F,0.236401752264971
3,3,A,0.116271319318542
3,3,B,0.32938688492590973
3,3,C,0.2940529388922966
3,3,D,0.31717390628979286
3,3,E,0.2681307295495695
3,3,F,0.27207108073620495
3,4,A,0.14439034688227048
3,4,B,0.34366552736056655
3,4,C,0.306079953556498
3,4,D,0.3343984727008339
3,4,E,0.28133060490698714
3,4,F,0.2837398130521013
3,5,A,0.15653960147678928
3,5,B,0.3513001212914217
3,5,C,0.3125124959302386
3,5,D,0.34318454761096523
3,5,E,0.28725261330009655
3,5,F,0.2656970411894446
