GEN_TYPE,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF
Steam Turbine,77,0.0,0.0,9999,-9999,1.0,100,1,621.0,30.55,0,0,0,0,0,0,6.2083333,62.083333,186.25,0,0
Steam Turbine,77,0.0,0.0,9999,-9999,1.0,100,1,593.0,83.4,0,0,0,0,0,0,4.9,49.0,147.0,0,0
Combustion Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,49.0,15.0,0,0,0,0,0,0,0.65833333,6.5833333,19.75,0,0
Combined Cycle,82,241.69005,0.0,9999,-9999,1.0,100,1,240.0,101.0,0,0,0,0,0,0,1.5916667,15.916667,47.75,0,0
Combined Cycle,77,286.0,0.0,9999,-9999,1.0,100,1,361.0,222.0,0,0,0,0,0,0,3.5333333,35.333333,106.0,0,0
Combined Cycle,77,286.0,0.0,9999,-9999,1.0,100,1,362.0,221.0,0,0,0,0,0,0,3.2833333,32.833333,98.5,0,0
Combined Cycle,80,317.00742,0.0,9999,-9999,1.0,100,1,373.0,247.0,0,0,0,0,0,0,2.725,27.25,81.75,0,0
Combined Cycle,51,0.0,0.0,9999,-9999,1.0,100,1,82.0,15.0,0,0,0,0,0,0,0.89166667,8.9166667,26.75,0,0
Combined Cycle,47,0.0,0.0,9999,-9999,1.0,100,1,61.0,0.0,0,0,0,0,0,0,1.0166667,10.166667,30.5,0,0
Combined Cycle,42,0.0,0.0,9999,-9999,1.0,100,1,78.0,39.0,0,0,0,0,0,0,0.64166667,6.4166667,19.25,0,0
Steam Turbine,65,0.0,0.0,9999,-9999,1.0,100,1,166.0,59.0,0,0,0,0,0,0,1.2666667,12.666667,38.0,0,0
Steam Turbine,77,0.0,0.0,9999,-9999,1.0,100,1,74.0,7.0,0,0,0,0,0,0,0.65,6.5,19.5,0,0
Steam Turbine,77,0.0,0.0,9999,-9999,1.0,100,1,70.0,7.75,0,0,0,0,0,0,0.73333333,7.3333333,22.0,0,0
Steam Turbine,77,0.0,0.0,9999,-9999,1.0,100,1,147.0,3.85,0,0,0,0,0,0,1.2083333,12.083333,36.25,0,0
Steam Turbine,77,0.0,0.0,9999,-9999,1.0,100,1,243.0,4.9,0,0,0,0,0,0,1.825,18.25,54.75,0,0
Combined Cycle,42,0.0,0.0,9999,-9999,1.0,100,1,327.0,161.0,0,0,0,0,0,0,2.9,29.0,87.0,0,0
Combined Cycle,42,0.0,0.0,9999,-9999,1.0,100,1,327.0,159.0,0,0,0,0,0,0,3.125,31.25,93.75,0,0
Combined Cycle,82,206.84172,0.0,9999,-9999,1.0,100,1,223.0,88.0,0,0,0,0,0,0,2.2833333,22.833333,68.5,0,0
Combined Cycle,82,202.34516,0.0,9999,-9999,1.0,100,1,227.0,83.0,0,0,0,0,0,0,2.325,23.25,69.75,0,0
Jet Engine,79,0.0,0.0,9999,-9999,1.0,100,1,60.0,36.0,0,0,0,0,0,0,0.65833333,6.5833333,19.75,0,0
Jet Engine,79,0.0,0.0,9999,-9999,1.0,100,1,54.0,23.5,0,0,0,0,0,0,0.65,6.5,19.5,0,0
Combined Cycle,80,0.0,0.0,9999,-9999,1.0,100,1,111.0,25.0,0,0,0,0,0,0,0.90833333,9.0833333,27.25,0,0
Combined Cycle,57,0.0,0.0,9999,-9999,1.0,100,1,51.0,12.0,0,0,0,0,0,0,0.50833333,5.0833333,15.25,0,0
Combustion Turbine,79,53.958709,0.0,9999,-9999,1.0,100,1,50.0,0.0,0,0,0,0,0,0,0.83333333,8.3333333,25.0,0,0
Combustion Turbine,79,0.0,0.0,9999,-9999,1.0,100,1,51.0,1.0,0,0,0,0,0,0,0.65833333,6.5833333,19.75,0,0
Combustion Turbine,79,0.0,0.0,9999,-9999,1.0,100,1,64.0,6.45,0,0,0,0,0,0,0.86666667,8.6666667,26.0,0,0
Combustion Turbine,79,0.0,0.0,9999,-9999,1.0,100,1,64.0,7.2,0,0,0,0,0,0,0.775,7.75,23.25,0,0
Combustion Turbine,79,0.0,0.0,9999,-9999,1.0,100,1,49.0,1.0,0,0,0,0,0,0,0.78333333,7.8333333,23.5,0,0
Combustion Turbine,79,0.0,0.0,9999,-9999,1.0,100,1,50.0,2.0,0,0,0,0,0,0,0.775,7.75,23.25,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,44.0,19.0,0,0,0,0,0,0,0.54166667,5.4166667,16.25,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,43.0,6.0,0,0,0,0,0,0,0.6,6.0,18.0,0,0
Steam Turbine,65,0.0,0.0,9999,-9999,1.0,100,1,113.0,36.0,0,0,0,0,0,0,1.0333333,10.333333,31.0,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,60.0,21.0,0,0,0,0,0,0,0.70833333,7.0833333,21.25,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,43.0,18.0,0,0,0,0,0,0,0.54166667,5.4166667,16.25,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,43.0,17.5,0,0,0,0,0,0,0.56666667,5.6666667,17.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,43.0,17.0,0,0,0,0,0,0,0.55,5.5,16.5,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,43.0,16.0,0,0,0,0,0,0,0.55833333,5.5833333,16.75,0,0
Jet Engine,77,0.0,0.0,9999,-9999,1.0,100,1,37.0,1.0,0,0,0,0,0,0,0.49166667,4.9166667,14.75,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,17.0,1.0,0,0,0,0,0,0,0.21666667,2.1666667,6.5,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,17.0,1.0,0,0,0,0,0,0,0.21666667,2.1666667,6.5,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,15.0,1.0,0,0,0,0,0,0,0.225,2.25,6.75,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,15.0,1.0,0,0,0,0,0,0,0.225,2.25,6.75,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,16.0,1.0,0,0,0,0,0,0,0.175,1.75,5.25,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,16.0,1.0,0,0,0,0,0,0,0.175,1.75,5.25,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,16.0,1.0,0,0,0,0,0,0,0.20833333,2.0833333,6.25,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,16.0,1.0,0,0,0,0,0,0,0.20833333,2.0833333,6.25,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,15.0,1.0,0,0,0,0,0,0,0.20833333,2.0833333,6.25,0,0
Jet Engine,80,0.0,0.0,9999,-9999,1.0,100,1,15.0,1.0,0,0,0,0,0,0,0.20833333,2.0833333,6.25,0,0
Combined Cycle,42,7.0,0.0,9999,-9999,1.0,100,1,140.0,123.0,0,0,0,0,0,0,1.0916667,10.916667,32.75,0,0
Combined Cycle,61,0.0,0.0,9999,-9999,1.0,100,1,84.0,18.0,0,0,0,0,0,0,0.85833333,8.5833333,25.75,0,0
Combined Cycle,50,0.0,0.0,9999,-9999,1.0,100,1,61.0,7.0,0,0,0,0,0,0,0.73333333,7.3333333,22.0,0,0
Combined Cycle,65,0.0,0.0,9999,-9999,1.0,100,1,60.0,6.0,0,0,0,0,0,0,0.65,6.5,19.5,0,0
Combined Cycle,57,0.0,0.0,9999,-9999,1.0,100,1,57.0,4.0,0,0,0,0,0,0,0.63333333,6.3333333,19.0,0,0
Combined Cycle,50,38.0,0.0,9999,-9999,1.0,100,1,1218.0,103.0,0,0,0,0,0,0,10.291667,102.91667,308.75,0,0
Combustion Turbine,60,0.0,0.0,9999,-9999,1.0,100,1,46.0,32.0,0,0,0,0,0,0,0.35,3.5,10.5,0,0
Combined Cycle,82,47.213871,0.0,9999,-9999,1.0,100,1,65.0,17.0,0,0,0,0,0,0,0.65,6.5,19.5,0,0
Combined Cycle,82,0.0,0.0,9999,-9999,1.0,100,1,71.0,4.0,0,0,0,0,0,0,0.61666667,6.1666667,18.5,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,49.0,8.0,0,0,0,0,0,0,0.725,7.25,21.75,0,0
Combined Cycle,56,0.0,0.0,9999,-9999,1.0,100,1,153.0,28.0,0,0,0,0,0,0,1.275,12.75,38.25,0,0
Combined Cycle,48,0.0,0.0,9999,-9999,1.0,100,1,55.0,0.0,0,0,0,0,0,0,0.91666667,9.1666667,27.5,0,0
Combined Cycle,79,44.965591,0.0,9999,-9999,1.0,100,1,53.0,35.0,0,0,0,0,0,0,0.30833333,3.0833333,9.25,0,0
Steam Turbine,80,160.75199,0.0,9999,-9999,1.0,100,1,410.0,108.0,0,0,0,0,0,0,4.425,44.25,132.75,0,0
Steam Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,410.0,111.0,0,0,0,0,0,0,2.575,25.75,77.25,0,0
Steam Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,411.0,109.0,0,0,0,0,0,0,2.575,25.75,77.25,0,0
Steam Turbine,80,0.0,0.0,9999,-9999,1.0,100,1,413.0,109.0,0,0,0,0,0,0,3.75,37.5,112.5,0,0
