F_BUS,T_BUS,BR_R,BR_X,BR_B,RATE_A,RATE_B,RATE_C,TAP,SHIFT,BR_STATUS,ANGMIN,ANGMAX
67,138,0.0063,0.0491,0,660,660,660,0,0,1,-360,360
68,71,0.1203,0.2048,0,0,0,0,0,0,1,-360,360
69,71,0,0.0375,0,0,0,0,0,0,1,-360,360
70,71,0,0.049,0,0,0,0,0,0,1,-360,360
71,72,0.0053,0.0135,0,0,0,0,0,0,1,-360,360
73,74,0.0022,0.0196,0,0,0,0,0,0,1,-360,360
74,77,0.0003,0.0043,0,0,0,0,0,0,1,-360,360
74,78,0.0005,0.0045,0,0,0,0,0,0,1,-360,360
75,76,0.0001,0.0074,0,0,0,0,1,0,1,-360,360
75,124,0.0007,0.0175,0,2000,2000,2000,0,0,1,-360,360
76,77,0.003,0.0068,0,0,0,0,0,0,1,-360,360
78,79,0.0003,0.0153,0,0,0,0,0,0,1,-360,360
78,80,0.0135,0.0582,0,0,0,0,0,0,1,-360,360
78,81,0.0005,0.0276,0,0,0,0,0,0,1,-360,360
78,82,0.0005,0.0308,0,0,0,0,0,0,1,-360,360
124,125,0.0025,0.073,0,0,0,0,0,0,1,-360,360
132,134,0.00235,0.04388,0,0,0,0,0,0,1,-360,360
132,138,0.0331,0.4224,0,0,0,0,0,0,1,-360,360
21,35,0,0.044470072,0,99999,99999,99999,1,0,1,-360,360
21,29,0,0.14641696,0,99999,99999,99999,1,0,1,-360,360
29,35,0,0.056486765,0,99999,99999,99999,1,0,1,-360,360
100,102,0,0.498846131,0,99999,99999,99999,1,0,1,-360,360
100,103,0,0.356994151,0,99999,99999,99999,1,0,1,-360,360
102,103,0,0.038118465,0,99999,99999,99999,1,0,1,-360,360
124,138,0,1.692450524,0,99999,99999,99999,1,0,1,-360,360
124,134,0,0.604904109,0,99999,99999,99999,1,0,1,-360,360
124,132,0,0.019350362,0,99999,99999,99999,1,0,1,-360,360
124,125,0,0.086082505,0,99999,99999,99999,1,0,1,-360,360
125,138,0,1.252038018,0,99999,99999,99999,1,0,1,-360,360
125,134,0,9.422976766,0,99999,99999,99999,1,0,1,-360,360
125,132,0,0.472890944,0,99999,99999,99999,1,0,1,-360,360
132,138,0,3.695248819,0,99999,99999,99999,1,0,1,-360,360
132,134,0,0.076238978,0,99999,99999,99999,1,0,1,-360,360
134,138,0,1.035283058,0,99999,99999,99999,1,0,1,-360,360
